"","ID","Host.Since","Neighbourhood.Cleansed","Neighbourhood.Group.Cleansed","City","Zipcode","Country","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bed.Type","Security.Deposit","Cleaning.Fee","Number.of.Reviews","Review.Scores.Rating","Host.Response.Rate","Bathrooms","Bathrooms_decimal","Bedrooms","Beds","Price","Security.Deposit_bool","Cleaning.fee_bool","Calculated.host.listings.count","ano_Host_Since","Neighbourhood.Cleansed_num","Neighbourhood.Group.Cleansed_num","Property.Type_Rec","Property.Type_RecNum","Room.Type_Num","Bed.Type_REC","Bed.Type_ReCNum"
"23",14773153,2010-02-17,"PALACIO","CENTRO","MADRID",28005,"Spain","4.040.989.805.431.660","-37.109.479.709.739.500","LOFT","ENTIRE HOME/APT",1,"REAL BED",70,5,0,0,0,0,"0",0,1,10,1,1,1,2010,81,4,"LOFT",10,1,"REAL BED",1
"24",1666184,2010-02-17,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.179.162.145.970","-3.709.707.931.327.850","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,20,0,0,"0",0,1,10,0,0,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"25",17986327,2010-02-17,"PALACIO","CENTRO","MADRID",28012,"Spain","4.041.215.429.347.270","-3.708.006.181.023.030","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,5,0,0,0,0,"0",0,1,10,0,1,1,2010,81,4,"APARTMENT",1,2,"REAL BED",1
"26",7796518,2010-02-17,"PALACIO","CENTRO","MADRID",28013,"Spain","404.215.557.414.176","-3.709.847.980.154.690","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",70,5,0,20,0,0,"0",0,1,10,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"27",12809312,2010-02-17,"PALACIO","CENTRO","MADRID",28012,"Spain","4.041.276.583.905.960","-37.075.909.638.953.400","APARTMENT","PRIVATE ROOM",1,"REAL BED",70,5,0,20,0,0,"0",0,1,10,1,1,1,2010,81,4,"APARTMENT",1,2,"REAL BED",1
"28",9914784,2010-02-17,"PALACIO","CENTRO","MADRID",28005,"Spain","40.411.726.282.959.500","-37.126.621.848.665.000","LOFT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,26,0,0,"0",0,1,10,0,0,1,2010,81,4,"LOFT",10,1,"REAL BED",1
"29",4196358,2010-02-21,"PALACIO","CENTRO","MADRID",28013,"Spain","40.420.992.161.619.300","-3.710.401.967.861.490","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,30,0,0,"0",0,1,10,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"30",13183219,2010-02-23,"PALACIO","CENTRO","MADRID",28005,"Spain","40.412.028.475.410.600","-3.715.778.795.417.610","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",75,5,0,30,0,0,"0",0,1,10,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"31",15508358,2010-03-15,"PALACIO","CENTRO","MADRID",28013,"Spain","40.415.124.675.607.300","-37.102.938.005.955.100","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",75,5,0,33,0,0,"0",0,1,10,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"32",11050879,2010-03-23,"PALACIO","CENTRO","MADRID",28005,"Spain","40.411.268.401.960.900","-3.711.598.282.910.730","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",75,0,0,0,0,0,"0",0,1,10,1,0,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"33",5547854,2010-03-31,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.645.117.724.530","-3.699.536.858.845.090","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,0,0,40,0,0,"0",0,1,10,0,0,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"34",843700,2010-03-31,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","404.133.780.215.198","-3.706.167.781.380.050","BED & BREAKFAST","PRIVATE ROOM",1,"REAL BED",75,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"BED & BREAKFAST",2,2,"REAL BED",1
"35",2966350,2010-04-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.204.778.900.970","-37.010.215.232.974.800","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",75,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"36",4319780,2010-04-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.410.469.609.965.800","-3.701.457.309.971.550","APARTMENT","PRIVATE ROOM",1,"REAL BED",76,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"37",17731717,2010-04-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.960.280.780.840","-36.950.180.629.075.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,0,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"38",12807973,2010-04-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.581.437.264.110","-37.002.515.446.017.100","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,10,0,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"39",12705598,2010-04-04,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.410.986.887.960.600","-37.050.591.885.379.100","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,0,0,40,0,0,"0",0,1,10,0,0,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"40",14894437,2010-04-04,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.407.653.734.017.100","-3.699.040.885.353.480","CONDOMINIUM","ENTIRE HOME/APT",1,"REAL BED",0,0,0,40,0,0,"0",0,1,10,0,0,1,2010,49,4,"CONDOMINIUM",6,1,"REAL BED",1
"41",11690240,2010-04-11,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.732.471.847.040","-37.006.600.238.093.600","HOUSE","PRIVATE ROOM",1,"REAL BED",80,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"HOUSE",4,2,"REAL BED",1
"42",16959438,2010-04-23,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.041.086.697.749.360","-3.706.966.665.173.070","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"43",6936094,2010-04-23,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.167.401.317.610","-37.002.906.279.887.300","BED & BREAKFAST","PRIVATE ROOM",1,"REAL BED",80,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"BED & BREAKFAST",2,2,"REAL BED",1
"44",9535469,2010-04-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.179.965.542.780","-37.039.433.023.426.400","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"45",16721056,2010-04-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.408.934.060.073.100","-37.049.793.312.797.100","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,0,0,0,"0",0,1,10,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"46",429604,2010-04-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.268.109.204.170","-3.701.247.361.306.430","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,0,0,40,0,0,"0",0,1,11,1,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"47",5446082,2010-05-13,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.250.621.572.400","-3.703.883.357.747.490","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"48",17049729,2010-05-14,"PALACIO","CENTRO","MADRID",28013,"Spain","40.421.408.098.599.400","-37.076.499.381.013.700","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"49",16818439,2010-05-14,"PALACIO","CENTRO","MADRID",28008,"Spain","40.417.820.222.494.900","-37.197.982.296.625.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,0,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"50",13940202,2010-05-14,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.068.105.552.730","-37.134.884.823.063.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"51",1717189,2010-05-14,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.205.745.086.380","-3.709.148.993.063.110","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"52",16183177,2010-05-23,"PALACIO","CENTRO","MADRID",28013,"Spain","4.041.627.556.008.440","-3.710.189.188.358.300","OTHER","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"OTHER",3,1,"REAL BED",1
"53",16669645,2010-05-24,"PALACIO","CENTRO","MADRID",28013,"Spain","40.416.850.378.393.800","-37.116.059.823.914.500","HOSTEL","PRIVATE ROOM",1,"REAL BED",0,0,0,0,0,0,"0",0,1,11,0,0,1,2010,81,4,"HOSTEL",9,2,"REAL BED",1
"54",16216763,2010-05-24,"PALACIO","CENTRO","MADRID",28005,"Spain","40.409.771.307.715.100","-3.717.248.479.475.310","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"55",9151112,2010-05-24,"PALACIO","CENTRO","MADRID",28013,"Spain","4.041.968.006.281.560","-37.107.451.758.163.800","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"56",17620099,2010-05-25,"PALACIO","CENTRO","MADRID",28013,"Spain","4.042.174.883.108.160","-371.110.520.281.181","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,0,0,0,"0",0,1,11,0,0,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"57",12375305,2010-05-25,"PALACIO","CENTRO","MADRID",NA,"Spain","40.410.760.081.722.400","-3.711.932.782.585.150","CONDOMINIUM","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"CONDOMINIUM",6,1,"REAL BED",1
"58",13197379,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.040.911.329.232.870","-37.116.742.868.563.500","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"59",13226641,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.040.901.134.000.830","-37.112.225.444.414.100","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"60",11633315,2010-05-25,"PALACIO","CENTRO","MADRID",28013,"Spain","4.042.247.796.997.050","-37.101.564.044.628.200","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,0,0,40,0,0,"0",0,1,11,1,0,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"61",9935947,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.322.292.205.860","-3.711.935.339.760.130","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"62",15701193,2010-05-25,"PALACIO","CENTRO","MADRID",28013,"Spain","4.041.578.614.611.580","-37.099.269.990.498.600","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"63",13197405,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.247.706.434.660","-37.089.954.086.062.700","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,40,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"64",12766878,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.105.503.357.970","-3.716.839.748.486.400","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,40,0,0,"0",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"65",15094639,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.166.679.202.020","-37.100.405.006.315.300","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,0,0,40,0,0,"0",0,1,11,0,0,1,2010,81,4,"APARTMENT",1,2,"REAL BED",1
"66",2965016,2010-05-25,"PALACIO","CENTRO","MADRID",28012,"Spain","4.041.242.019.704.000","-3.707.873.449.904.830","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,47,0,0,"0",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"67",15852288,2010-05-25,"PALACIO","CENTRO","MADRID",28005,"Spain","4.040.960.750.253.680","-3.710.648.578.507.720","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,0,0,47,0,0.5,"0,5",0,1,11,1,0,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"68",10900611,2010-05-26,"PALACIO","CENTRO","MADRID",28005,"Spain","4.040.940.085.610.750","-3.711.630.313.124.470","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,47,0,0.5,"0,5",0,1,11,1,1,1,2010,81,4,"APARTMENT",1,1,"REAL BED",1
"69",1105892,2010-05-27,"PALACIO","CENTRO","MADRID",28005,"Spain","4.041.106.051.873.260","-3.709.062.553.832.320","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,5,0,47,0,0.5,"0,5",0,1,11,0,1,1,2010,81,4,"APARTMENT",1,2,"REAL BED",1
"70",10152233,2010-05-31,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.409.799.346.084.700","-37.006.812.109.375.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,49,0,0.5,"0,5",0,1,11,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"71",4745997,2010-06-02,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.041.006.299.208.210","-37.074.788.445.532.000","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,0,0,50,0,0.5,"0,5",0,1,11,0,0,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"72",16763949,2010-06-10,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","404.118.744.602.771","-37.013.086.312.411.200","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,0,0,0,0,0.5,"0,5",0,1,11,1,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"73",16248091,2010-06-10,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.872.321.515.410","-3.692.362.019.148.060","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,50,0,0.5,"0,5",0,1,11,0,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"74",1536252,2010-06-10,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.177.611.206.860","-37.048.986.142.686.400","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,50,0,0.5,"0,5",0,1,11,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"75",16675905,2010-06-10,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.635.370.973.260","-3.703.991.429.463.030","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,50,0,0.5,"0,5",0,1,11,0,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"76",7108452,2010-06-10,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.040.770.758.436.700","-37.040.950.722.900.500","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,0,0,0.5,"0,5",0,1,11,0,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"77",5832510,2010-06-12,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.410.195.379.504.500","-3.701.701.454.349.700","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,50,0,0.5,"0,5",0,1,12,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"78",12484031,2010-06-13,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.010.368.433.250","-37.024.079.516.336.100","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,50,0,0.5,"0,5",0,1,12,0,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"79",9300301,2010-06-18,"EMBAJADORES","CENTRO","MADRID",NA,"Spain","40.410.791.190.545.300","-3.697.963.633.236.870","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,0,0,50,0,0.5,"0,5",0,1,12,1,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"80",8528189,2010-06-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","404.108.295.056.357","-37.072.816.628.275.200","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,5,0,0,0,0.5,"0,5",0,1,12,0,1,1,2010,49,4,"APARTMENT",1,2,"REAL BED",1
"81",1532354,2010-06-27,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","40.408.426.111.106.200","-3.706.267.182.628.440","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,50,0,0.5,"0,5",0,1,12,0,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"82",581691,2010-06-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.407.177.992.344.000","-37.032.677.171.801.200","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,50,0,0.5,"0,5",0,1,12,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
"83",3922548,2010-06-27,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.143.048.037.390","-3.699.736.948.686.540","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",80,5,0,50,0,0.5,"0,5",0,1,12,1,1,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
